shortName,count,인구수,HS_ratio
강릉시,19,207543,9.154729381
고성군,14,26920,52.00594354
동해시,4,87571,4.567722191
삼척시,15,61464,24.40452948
속초시,1,80754,1.238328752
양구군,8,20552,38.925652
양양군,11,27470,40.04368402
영월군,14,36603,38.24823102
원주시,20,362159,5.522436278
인제군,11,31385,35.04859009
정선군,19,33487,56.73843581
철원군,13,40408,32.17184716
춘천시,25,285864,8.745417401
태백시,3,37875,7.920792079
평창군,23,40305,57.06488029
홍천군,28,66661,42.0035703
화천군,11,22764,48.32191179
횡성군,17,46037,36.92681973
가평군,21,62472,33.61505955
고양시,4,1069131,0.37413563
과천시,1,85501,1.169576964
광명시,2,279805,0.71478351
광주시,16,397410,4.026068795
구리시,3,186868,1.605411306
군포시,2,255533,0.782677775
김포시,14,486651,2.876804938
남양주시,16,732191,2.185222162
동두천시,1,86807,1.151980831
부천시,3,769084,0.390074426
성남시,4,912708,0.438256266
수원시,4,1192256,0.335498416
시흥시,8,517511,1.545860861
안산시,9,619381,1.453063623
안성시,26,194007,13.40157829
안양시,2,557962,0.358447349
양주시,8,289527,2.763127446
양평군,28,126792,22.0834122
여주시,23,114562,20.07646515
연천군,15,40894,36.68019758
오산시,2,242618,0.824341145
용인시,20,1087144,1.839682692
의왕시,2,154351,1.295748003
의정부시,1,461142,0.216852943
이천시,23,222420,10.34079669
파주시,14,513627,2.725713407
평택시,23,599138,3.838848479
포천시,23,141444,16.26085235
하남시,2,328875,0.608133789
화성시,26,971835,2.675351268
거제시,23,232777,9.880701272
거창군,30,59514,50.40830729
고성군,26,47913,54.26502202
김해시,12,531683,2.256983955
남해군,25,39730,62.92474201
밀양시,25,100544,24.86473584
사천시,21,108420,19.36912009
산청군,25,33203,75.29440111
양산시,10,359920,2.778395199
의령군,22,25094,87.67035945
진주시,26,338449,7.682102769
창녕군,33,56040,58.88650964
창원시,19,999399,1.901142587
통영시,22,118250,18.60465116
하동군,31,40679,76.20639642
함안군,17,58849,28.88749172
함양군,22,36002,61.10771624
합천군,32,40133,79.73488152
경산시,19,266013,7.142508073
경주시,29,244589,11.85662479
고령군,18,30041,59.91811191
구미시,22,404395,5.440225522
김천시,33,135610,24.33448861
문경시,23,67025,34.3155539
봉화군,17,28719,59.19426164
상주시,44,91784,47.93863854
성주군,21,41396,50.72953909
안동시,40,152902,26.16054728
영덕군,22,33123,66.41910455
영양군,14,15309,91.44947417
영주시,24,98782,24.29592436
영천시,25,97872,25.54356711
예천군,27,54480,49.55947137
울릉군,6,9063,66.20324396
울진군,26,46106,56.39179283
의성군,39,48620,80.21390374
청도군,19,40544,46.86266772
청송군,15,23687,63.32587495
칠곡군,18,107142,16.8001344
포항시,38,491439,7.732394051
광산구,10,391166,2.556459406
남구,5,208004,2.403799927
동구,2,105910,1.888395808
북구,3,423403,0.708544814
서구,4,278614,1.435678035
남구,1,136642,0.731839405
달서구,2,521673,0.383381927
달성군,16,257469,6.214340367
동구,1,342133,0.292283995
북구,3,412347,0.727542579
서구,1,162815,0.614194024
수성구,2,409676,0.488190668
중구,1,98112,1.019243314
대덕구,3,167785,1.788002503
동구,3,219439,1.367122526
서구,4,457758,0.87382416
유성구,7,369111,1.896448494
중구,3,224881,1.334038892
강서구,8,142869,5.599535239
금정구,3,209326,1.433171226
기장군,6,175527,3.41827753
남구,4,253970,1.574989172
동구,2,85857,2.329454791
동래구,2,274843,0.727688171
부산진구,4,359150,1.113740777
북구,2,267287,0.748259362
사상구,1,198258,0.504393265
사하구,3,292117,1.026985763
서구,1,103065,0.970261485
수영구,1,171871,0.581831723
연제구,1,212566,0.470442122
영도구,1,103503,0.96615557
중구,2,37469,5.33774587
해운대구,3,376213,0.79742061
강남구,1,557115,0.179496154
강동구,3,484301,0.619449475
강북구,1,283293,0.352991426
강서구,2,555518,0.360024338
관악구,2,477940,0.418462569
광진구,3,331589,0.904734476
구로구,3,387510,0.77417357
금천구,2,224924,0.889189237
노원구,5,490307,1.019769247
도봉구,2,303057,0.659941859
동대문구,1,338822,0.295140221
동작구,2,375456,0.532685588
마포구,3,360981,0.831068671
서대문구,2,302297,0.661601008
서초구,3,408324,0.734710671
성동구,2,273549,0.731130437
성북구,4,420710,0.950773692
송파구,2,649071,0.3081327
양천구,4,430618,0.928897538
영등포구,1,373307,0.267876038
용산구,1,203727,0.490852955
은평구,3,460738,0.651129275
종로구,1,138208,0.723547117
중구,4,120325,3.32432994
중랑구,2,378971,0.527744867
남구,3,304922,0.983858167
동구,1,150761,0.663301517
북구,3,216375,1.386481802
울주군,17,218880,7.766812865
중구,1,206883,0.483364994
강화군,27,69439,38.88304843
계양구,3,279685,1.072635286
남동구,2,485702,0.411775121
동구,1,58162,1.719335649
미추홀구,3,412621,0.727059456
부평구,3,493853,0.607468214
서구,5,635553,0.78671645
연수구,2,400461,0.499424413
옹진군,19,19902,95.46779218
중구,4,168271,2.377117863
강진군,18,32169,55.95449035
고흥군,43,60100,71.54742097
곡성군,24,26548,90.40229019
광양시,25,154914,16.13798624
구례군,20,24002,83.32638947
나주시,31,116710,26.56156285
담양군,23,44569,51.60537593
목포시,2,209289,0.955616396
무안군,21,92927,22.59838368
보성군,26,37149,69.98842499
순천시,34,276153,12.31201544
신안군,40,38221,104.6545093
여수시,41,267338,15.33639064
영광군,22,52272,42.08754209
영암군,24,51261,46.81921929
완도군,32,45503,70.32503351
장성군,22,42024,52.3510375
장흥군,20,34417,58.11081733
진도군,22,28374,77.53577219
함평군,25,29913,83.57570287
해남군,32,63002,50.79203835
화순군,26,60737,42.80751437
고창군,37,50869,72.73585091
군산시,34,257832,13.18688138
김제시,40,80979,49.3955223
남원시,41,75604,54.22993492
무주군,15,23021,65.15789931
부안군,23,47989,47.92765009
순창군,28,26788,104.5244139
완주군,27,99668,27.0899386
익산시,42,267654,15.69190074
임실군,32,25578,125.1075143
장수군,18,20618,87.30235716
전주시,6,634548,0.945554946
정읍시,43,101986,42.16264978
진안군,23,24217,94.97460462
서귀포시,33,181837,18.14812167
제주시,34,487623,6.972599734
계룡시,3,46307,6.47850217
공주시,30,101068,29.68298571
금산군,20,49442,40.45143805
논산시,41,108302,37.85710329
당진시,32,172139,18.58962815
보령시,28,93575,29.92252204
부여군,37,59484,62.20160043
서산시,26,174139,14.93060142
서천군,28,48119,58.18907292
아산시,29,355374,8.160416913
예산군,29,78879,36.76517197
천안시,34,660147,5.150368024
청양군,23,29551,77.83154546
태안군,24,60002,39.99866671
홍성군,26,99287,26.18671125
괴산군,30,36115,83.06797729
단양군,23,27293,84.27069212
보은군,24,30494,78.70400735
영동군,28,43504,64.36189776
옥천군,25,48119,51.9545294
음성군,29,91228,31.78848599
제천시,21,128352,16.36125654
증평군,3,37160,8.073196986
진천군,15,86429,17.35528584
청주시,44,854742,5.147752187
충주시,30,207230,14.47666844
